Company,Days_Observed,Crosses,True_Positive,False_Positive,True_Negative,False_Negative,Sensitivity,Specificity,Accuracy,TPR,FPR
SAP,6370,514,143,136,121,114,0.556420233463035,0.4708171206225681,0.5136186770428015,0.556420233463035,0.5291828793774319
T,7592,639,180,160,160,139,0.5642633228840125,0.5,0.5320813771517997,0.5642633228840125,0.5
TM,10742,885,215,245,198,227,0.48642533936651583,0.4469525959367946,0.4666666666666667,0.48642533936651583,0.5530474040632054
TMO,9517,779,200,204,185,190,0.5128205128205128,0.4755784061696658,0.4942233632862644,0.5128205128205128,0.5244215938303343
TMUS,3454,285,71,78,65,71,0.5,0.45454545454545453,0.47719298245614034,0.5,0.5454545454545454
TSLA,2649,209,56,53,51,49,0.5333333333333333,0.49038461538461536,0.5119617224880383,0.5333333333333333,0.5096153846153846
TSM,5797,476,129,110,128,109,0.542016806722689,0.5378151260504201,0.5399159663865546,0.542016806722689,0.46218487394957986
TXN,7198,621,171,171,140,139,0.5516129032258065,0.45016077170418006,0.500805152979066,0.5516129032258065,0.54983922829582
UL,8029,615,160,148,159,148,0.5194805194805194,0.5179153094462541,0.5186991869918699,0.5194805194805194,0.4820846905537459
UNH,7287,610,174,155,150,131,0.5704918032786885,0.4918032786885246,0.5311475409836065,0.5704918032786885,0.5081967213114754
V,3223,274,65,82,55,72,0.4744525547445255,0.40145985401459855,0.43795620437956206,0.4744525547445255,0.5985401459854014
VZ,8861,747,193,191,183,180,0.517426273458445,0.4893048128342246,0.5033467202141901,0.517426273458445,0.5106951871657754
WMT,8539,690,174,192,153,171,0.5043478260869565,0.4434782608695652,0.47391304347826085,0.5043478260869565,0.5565217391304348
XOM,8793,816,172,237,171,236,0.4215686274509804,0.41911764705882354,0.42034313725490197,0.4215686274509804,0.5808823529411764
