Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-01-21,13.126560358581173,13.923238820481325,12.999985408571996,13.811553955078125,3871200,0.0,0
2016-01-22,14.429540146530272,14.503996265290427,13.826448282824465,13.930685997009277,4188600,0.0,0
2016-01-25,13.819002208933977,13.915795587120478,13.528624914639103,13.640308380126953,2694000,0.0,0
2016-01-26,14.020032196783644,14.474213196881246,13.804111036498231,14.422094345092773,2607000,0.0,0
2016-01-27,13.938130039988232,14.533777496821203,13.833892338598636,14.139161109924316,3172700,0.0,0
2016-01-28,14.958177319326259,14.973068827112444,14.392312804642389,14.615679740905762,3664300,0.0,0
2016-01-29,14.20617333099247,14.65290862721384,14.16150022741004,14.630571365356445,3892100,0.0,0
2016-02-01,14.459319633697756,14.712469523628782,14.228506999983704,14.645459175109863,2513800,0.0,0
2016-02-02,13.617970347199856,13.73709954722985,13.424385042118097,13.603078842163086,3751300,0.0,0
2016-02-03,13.908349931636153,14.474214436921164,13.543516517728513,14.459322929382324,3944300,0.0,0
2016-02-04,15.211325855127566,15.940992627137161,15.181542842327723,15.54637622833252,4175800,0.0,0
2016-02-05,15.062410468277928,15.553818715221617,15.032628881864449,15.255995750427246,2734900,0.0,0
2016-02-08,15.010291626955402,15.32300609502247,14.93583553072383,15.255995750427246,2601700,0.0,0
2016-02-09,14.436986202265127,14.66780031726066,14.310411223766161,14.466769218444824,3564600,0.0,0
2016-02-10,14.131714642158014,14.429537645444338,14.049814203836837,14.168943405151367,3207200,0.0,0
2016-02-11,13.804112413977501,14.049816611307246,13.632862915128257,13.863677024841309,3329000,0.0,0
2016-02-12,14.690133389051976,15.211324712853353,14.615677282775764,15.092195510864258,2649600,0.0,0
2016-02-16,14.868828822742099,15.14431602013791,14.615678885718573,15.121978759765625,3331600,0.0,0
2016-02-17,15.486810035804451,16.015447097770178,15.471919951062652,15.888872146606445,2606900,0.0,0
2016-02-18,16.067565401781515,16.07501115396686,15.73995940628643,15.881425857543945,2962400,0.0,0
2016-02-19,15.568711665597915,15.82186156423626,15.501701314774115,15.799524307250977,1807300,0.0,0
2016-02-22,16.46963219275641,16.96104061598184,16.46963219275641,16.789791107177734,3056900,0.0,0
2016-02-23,16.06756669227857,16.20158740211487,15.568712616850203,15.739960670471191,4463100,0.0,0
2016-02-24,14.3401930773035,14.816709936485687,14.191280848742936,14.809264183044434,4706800,0.0,0
2016-02-25,14.615677099012238,14.772035062239599,14.31785409778404,14.764589309692383,2675700,0.0,0
2016-02-26,14.80181790882994,15.040077750170585,14.660352858820065,14.742253303527832,2776600,0.0,0
2016-02-29,15.047520896345253,15.285780718893166,14.906055857493424,14.958174705505371,2135400,0.0,0
2016-03-01,15.65061590943475,15.687843256625904,15.278336756994145,15.494257926940918,2360700,0.0,0
2016-03-02,15.911212136967626,16.6781063079834,15.903766383251744,16.6781063079834,3039100,0.0,0
2016-03-03,16.983371720113787,17.117392419987045,16.648321390562675,17.102500915527344,2284300,0.0,0
2016-03-04,17.86195572804219,18.770316458816975,17.72793498970293,18.249126434326172,5027400,0.0,0
2016-03-07,18.718192164118324,19.276610798323592,18.67351907101887,19.2096004486084,3595600,0.0,0
2016-03-08,18.10765978946628,18.11510554377061,17.303536786319995,17.415220260620117,3075900,0.0,0
2016-03-09,17.596393382739553,17.807761994602895,16.969838020243103,17.73227310180664,3360100,0.32,0
2016-03-10,17.203847947931635,17.61148552825358,17.08306489616657,17.430313110351562,3459900,0.0,0
2016-03-11,17.588841097865956,17.981382115973588,17.528450282759444,17.973833084106445,2561600,0.0,0
2016-03-14,17.80775892868587,18.011578472195406,17.520901473413797,17.75491714477539,2024200,0.0,0
2016-03-15,16.584841366375827,16.592390397546342,16.358376190582277,16.531999588012695,3096600,0.0,0
2016-03-16,16.45650951414363,17.151004492969403,16.335727903898313,17.128358840942383,3769300,0.0,0
2016-03-17,17.98893131263615,18.147458103637128,17.679428202401112,18.0493221282959,2992200,0.0,0
2016-03-18,18.64568163959304,18.81930504482893,18.102162889525147,18.230493545532227,2988200,0.0,0
2016-03-21,18.15500857829743,18.37392621971672,17.792663626807755,17.936092376708984,2231700,0.0,0
2016-03-22,17.53599962611127,17.747368202653817,17.49070687393452,17.68697738647461,1848100,0.0,0
2016-03-23,17.437863314603895,17.505803155868144,16.856600868156654,16.901893615722656,2226500,0.0,0
2016-03-24,16.41121962297019,16.977384059346104,16.36592687121269,16.9622859954834,2047100,0.0,0
2016-03-28,17.075518288120367,17.22649459181355,16.705622960470457,17.03777313232422,1552500,0.0,0
2016-03-29,16.30553663143058,16.954737562316996,16.13191321036972,16.90944480895996,3474200,0.0,0
2016-03-30,17.4454122741872,17.717170198297577,17.27933646740979,17.39257049560547,3114100,0.0,0
2016-03-31,17.324633728085686,17.483159091953958,17.090618038807662,17.158557891845703,1885000,0.0,0
2016-04-01,16.464059802545854,16.99248046761096,16.426316086397126,16.969833374023438,2863800,0.0,0
2016-04-04,16.932089508173867,17.09061484239355,16.36592513196563,16.38857078552246,3442700,0.0,0
2016-04-05,15.724273693943426,15.958287926555437,15.67143190978884,15.837506294250488,2511600,0.0,0
2016-04-06,15.588396614340978,15.988486738405166,15.369480408977047,15.973388671875,2712300,0.0,0
2016-04-07,15.716725597303858,15.965837908737207,15.580845892916447,15.611042022705078,2201400,0.0,0
2016-04-08,16.267787890163607,16.456509334085833,16.177202403385937,16.2526912689209,2218900,0.0,0
2016-04-11,16.841506063441862,17.06797272473962,16.735822485401368,16.871702194213867,1746700,0.0,0
2016-04-12,17.392569960627704,17.777560461261366,17.211396097019534,17.671876907348633,2386600,0.0,0
2016-04-13,18.774012749592774,19.10616150507679,18.68342580911404,18.96273422241211,4160000,0.0,0
2016-04-14,19.294883728027344,19.51380133612735,19.060869495786108,19.294883728027344,5070600,0.0,0
2016-04-15,19.26468920317942,19.551545221922574,19.075967721423737,19.370372772216797,2380500,0.0,0
